City,Date,PM2.5,PM10,SO2,NO2,CO,O3,NH3,Computed_AQI,Computed_AQI_Bucket,Year,Month,Season
aizawl,3/11/2020,31.96,46.85,4.56,2.82,0.62,5.92,26.79,52.62206897,Good,2020,3,Summer
aizawl,3/12/2020,31.68,39.45,4.25,1.36,0.55,4.82,25.82,52.14896552,Good,2020,3,Summer
aizawl,3/13/2020,37.83,46.36,4.46,0.99,0.56,0.23,29.21,62.54034483,Good,2020,3,Summer
aizawl,3/14/2020,43.16,50.8,4.55,1.09,0.58,0.51,29.08,71.5462069,Satisfactory,2020,3,Summer
aizawl,3/15/2020,33.93,41.32,4.63,0.37,0.47,0.46,28.55,55.95068966,Good,2020,3,Summer
aizawl,3/16/2020,26.29,33.68,4.74,2.67,0.49,12.27,23.74,43.81666667,Good,2020,3,Summer
aizawl,3/17/2020,27.8,37,4.82,2.1,0.49,6.07,24.55,46.33333333,Good,2020,3,Summer
aizawl,3/18/2020,31.88,41.85,5.09,1.56,0.46,8.81,23.46,52.48689655,Good,2020,3,Summer
aizawl,3/19/2020,44.29,54.39,5.29,1.39,0.48,10.18,23.52,73.45551724,Satisfactory,2020,3,Summer
aizawl,3/20/2020,34.78,43.19,5.35,0.83,0.49,6.39,25.02,57.38689655,Good,2020,3,Summer
aizawl,3/21/2020,51.11,59.77,5.58,0.86,0.5,8.06,23.86,84.97896552,Satisfactory,2020,3,Summer
aizawl,3/22/2020,33.22,40.42,5.41,0.13,0.35,5.67,18.48,54.75103448,Good,2020,3,Summer
aizawl,3/23/2020,36.05,42.6,5.67,0.18,0.33,5.8,20.32,59.53275862,Good,2020,3,Summer
aizawl,3/24/2020,48.53,57.91,6.17,0.15,0.37,5.67,20.32,80.61965517,Satisfactory,2020,3,Summer
aizawl,3/25/2020,52.36,61.48,6.8,0.19,0.43,6.46,25.78,87.09103448,Satisfactory,2020,3,Summer
aizawl,3/26/2020,54.48,62.37,6.81,0.14,0.42,5.92,25.45,90.67310345,Satisfactory,2020,3,Summer
aizawl,3/27/2020,44.32,53.6,7.37,0.11,0.4,6.44,28.73,73.5062069,Satisfactory,2020,3,Summer
aizawl,3/28/2020,51.67,60.72,7.71,0.4,0.44,8.91,29.74,85.92517241,Satisfactory,2020,3,Summer
aizawl,3/29/2020,34.28,41.58,7.81,0.13,0.35,7.82,28.53,56.54206897,Good,2020,3,Summer
aizawl,3/30/2020,38.72,47.32,7.65,0.27,0.42,7.46,29.02,64.04413793,Good,2020,3,Summer
aizawl,3/31/2020,28.19,35.2,7.93,0.28,0.39,6.82,31.11,46.98333333,Good,2020,3,Summer
aizawl,4/1/2020,40.04,50.95,8.08,0.24,0.46,5.98,32.95,66.27448276,Satisfactory,2020,4,Summer
aizawl,4/2/2020,35.86,48.32,8.37,0.26,0.39,9.59,32.36,59.21172414,Good,2020,4,Summer
aizawl,4/3/2020,29.06,38.75,8.26,0.22,0.28,10.9,23.19,48.43333333,Good,2020,4,Summer
aizawl,4/4/2020,24.53,42.69,8.21,0.28,0.26,10.69,22.07,42.69,Good,2020,4,Summer
aizawl,4/5/2020,26.31,33.1,8.78,0.08,0.31,6.03,26.05,43.85,Good,2020,4,Summer
aizawl,4/6/2020,35.72,44.95,8.52,0.16,0.32,7.86,25.08,58.97517241,Good,2020,4,Summer
aizawl,4/7/2020,33.05,42.19,8.78,0.32,0.29,13.6,22.72,54.4637931,Good,2020,4,Summer
aizawl,4/8/2020,24.86,31.93,8.69,0.2,0.27,9.7,23.56,41.43333333,Good,2020,4,Summer
aizawl,4/9/2020,39.29,46.03,7.68,0.32,0.39,7.42,23.33,65.00724138,Good,2020,4,Summer
aizawl,4/10/2020,37.8,45.47,4.53,0.14,0.41,5.66,28.08,62.48965517,Good,2020,4,Summer
aizawl,4/11/2020,29.18,34.97,4.77,0.18,0.37,7.01,30.04,48.63333333,Good,2020,4,Summer
aizawl,4/12/2020,22.03,28.16,4.56,0.12,0.28,8.21,26.24,36.71666667,Good,2020,4,Summer
aizawl,4/13/2020,28.3,33.45,5.32,0.41,0.36,10.79,28.56,47.16666667,Good,2020,4,Summer
aizawl,4/14/2020,46.57,50.07,5.68,0.47,0.47,4.01,31.25,77.30793103,Satisfactory,2020,4,Summer
aizawl,4/15/2020,40.02,48.62,5.71,0.53,0.42,0.83,30.15,66.24068966,Good,2020,4,Summer
aizawl,4/16/2020,22.89,28.62,5.55,0.34,0.28,0.98,23.54,38.15,Good,2020,4,Summer
aizawl,4/17/2020,13.53,18.77,5.4,0.38,0.21,2.59,14.39,22.55,Good,2020,4,Summer
aizawl,4/18/2020,18.67,24.71,6.08,0.24,0.24,1.38,17.85,31.11666667,Good,2020,4,Summer
aizawl,4/19/2020,9.51,14.54,6.47,0.11,0.22,1.49,19.35,15.85,Good,2020,4,Summer
aizawl,4/20/2020,10.44,19.98,6.8,0.97,0.26,10.27,19.22,19.98,Good,2020,4,Summer
aizawl,4/21/2020,9.46,21.64,6.63,0.86,0.27,10.14,16.54,21.64,Good,2020,4,Summer
aizawl,4/22/2020,8.44,11.31,6.63,0.37,0.24,2.22,15.83,14.06666667,Good,2020,4,Summer
aizawl,4/23/2020,10.22,14.39,6.98,0.28,0.26,1.97,16.66,17.03333333,Good,2020,4,Summer
aizawl,4/24/2020,5.79,10.19,6.8,0.36,0.21,1.5,12.4,10.5,Good,2020,4,Summer
aizawl,4/25/2020,2.73,5.57,7.47,0.21,0.19,0.71,16.98,9.5,Good,2020,4,Summer
aizawl,4/26/2020,2.3,4.23,6.97,0.15,0.18,1.23,12.44,9,Good,2020,4,Summer
aizawl,4/27/2020,5.58,10.11,7.2,0.3,0.25,0.39,18.08,12.5,Good,2020,4,Summer
aizawl,4/28/2020,3.66,7.79,6.99,0.2,0.26,6.342105263,16.84,13,Good,2020,4,Summer
aizawl,4/29/2020,3.85,6.86,7.25,0.19,0.22,6.342105263,15.39,11,Good,2020,4,Summer
aizawl,4/30/2020,5.05,9.14,6.55,0.34,0.24,1.74,14.53,12,Good,2020,4,Summer
aizawl,5/1/2020,7.81,13.23,6.49,0.38,0.3,1.62,18.44,15,Good,2020,5,Summer
aizawl,5/2/2020,8.32,12.99,6.45,0.25,0.27,0.08,16.55,13.86666667,Good,2020,5,Summer
aizawl,5/3/2020,5.51,10,6.44,0.08,0.19,2.176896552,14.58,10,Good,2020,5,Summer
aizawl,5/4/2020,6.68,12.19,6.97,0.24,0.23,0.58,15.78,12.19,Good,2020,5,Summer
aizawl,5/5/2020,9.86,14.67,7.62,0.27,0.27,0.21,18.87,16.43333333,Good,2020,5,Summer
aizawl,5/6/2020,6.09,8.43,7.37,0.75,0.24,4.14,15.1,12,Good,2020,5,Summer
aizawl,5/7/2020,4.28,7.36,8.08,0.2,0.27,0.24,19.83,13.5,Good,2020,5,Summer
aizawl,5/8/2020,13.74,17.82,8.54,0.52,0.32,3.99,22.53,22.9,Good,2020,5,Summer
aizawl,5/9/2020,13.36,19.1,8.61,0.36,0.37,0.29,28.28,22.26666667,Good,2020,5,Summer
aizawl,5/10/2020,16.12,20.39,8.63,0.09,0.31,0.06,32.8,26.86666667,Good,2020,5,Summer
aizawl,5/11/2020,25.43,32.04,8.91,0.78,0.4,12.05,29.72,42.38333333,Good,2020,5,Summer
aizawl,5/12/2020,28.08,33.94,8.91,0.47,0.42,0.22,30.01,46.8,Good,2020,5,Summer
aizawl,5/13/2020,22.47,27.8,8.39,0.66,0.36,2.07,20.62,37.45,Good,2020,5,Summer
aizawl,5/14/2020,20.87,25.09,9.12,0.67,0.33,10.5,24.14,34.78333333,Good,2020,5,Summer
aizawl,5/15/2020,14.4,19.45,9.07,0.37,0.3,0.06,22.89,24,Good,2020,5,Summer
aizawl,5/16/2020,8.19,12.65,9.19,0.31,0.27,2.176896552,22.68,13.65,Good,2020,5,Summer
aizawl,5/17/2020,12.43,18.22,9.89,0.12,0.23,0.04,26.01,20.71666667,Good,2020,5,Summer
aizawl,5/18/2020,17.98,25.59,10.05,0.6,0.38,4.03,29.06,29.96666667,Good,2020,5,Summer
aizawl,5/19/2020,18.04,24.13,9.8,0.53,0.35,1.28,24.43,30.06666667,Good,2020,5,Summer
aizawl,5/20/2020,6.91,10.27,9.83,0.54,0.32,0.22,17.65,16,Good,2020,5,Summer
aizawl,5/21/2020,9.16,15.34,10.13,0.37,0.21,2.98,13.1,15.34,Good,2020,5,Summer
aizawl,5/22/2020,13.88,18.91,9.94,0.37,0.25,1.24,11.39,23.13333333,Good,2020,5,Summer
aizawl,5/23/2020,16.78,22.55,10.93,0.29,0.25,0.4,16.34,27.96666667,Good,2020,5,Summer
aizawl,5/24/2020,13.25,19.16,11.21,0.09,0.19,0.89,15.88,22.08333333,Good,2020,5,Summer
aizawl,5/25/2020,9.48,14.79,11.16,0.32,0.2,1.55,14.23,15.8,Good,2020,5,Summer
aizawl,5/26/2020,8.81,13.21,11.06,0.48,0.21,2.32,12.16,14.68333333,Good,2020,5,Summer
aizawl,5/27/2020,1.46,4.18,11.12,0.66,0.21,5.28,16.86,13.9,Good,2020,5,Summer
aizawl,5/28/2020,3.52,9.68,11.94,0.4,0.24,2.91,19.82,14.925,Good,2020,5,Summer
aizawl,5/29/2020,3.43,7.89,11.22,0.55,0.24,3.47,12.55,14.025,Good,2020,5,Summer
aizawl,5/30/2020,3.54,7.24,11.41,0.24,0.22,0.3,12.96,14.2625,Good,2020,5,Summer
aizawl,5/31/2020,3.75,7.88,11.57,0.09,0.17,0.11,12.9,14.4625,Good,2020,5,Summer
aizawl,6/1/2020,4.54,9.22,11.88,0.67,0.22,5.4,12.88,14.85,Good,2020,6,Monsoon
