City,Date,Year,Month,DayOfWeek,Season,PM2.5,PM10,SO2,NO2,CO,O3,NH3,Computed_AQI,Max_temp,Avg_temp,Min_temp,Max_dewpoint,Avg_dewpoint,Min_dewpoint,Max_humidity_per,Avg_humidity_per,Min_humidity_per,Max_wind_speed,Avg_wind_speed,Min_wind_speed,Max_pressure,Avg_pressure,Min_pressure,Max_precipitation,Traffic_Congestion_Index,Simulated_Traffic_Index,Computed_AQI_Bucket
indore,9/17/2019,2019,9,1,Monsoon,41.88,129.71,11.51,49.19,1.8,29.98,5.54,120.0757718,85,77.9,72,76,73.8,70,95,87.3,74,8,6.3,3,27.9,27.8,27.8,0.04,18.6,18.61393301,Moderate
indore,9/18/2019,2019,9,2,Monsoon,27.35,72.86,8.1,43.93,1.34,30.19,12.78,72.86,88,77.4,72,75,72.8,69,96,87,61,23,8.1,3,28,27.9,27.8,0.55,18.6,18.58639669,Satisfactory
indore,9/19/2019,2019,9,3,Monsoon,16.62,41.76,5.72,36.22,1.25,26.24,25,59.16666667,83,77.1,73,75,73.1,72,95,87.5,68,14,7.3,3,27.9,27.9,27.8,0.87,18.6,18.65901928,Good
indore,9/20/2019,2019,9,4,Monsoon,12.84,35.59,4.09,31.66,0.74,19.82,17.56,39.575,88,78.6,73,75,73.5,72,96,85.4,61,18,9.1,3,27.9,27.9,27.8,0.16,18.6,18.63033589,Good
indore,9/21/2019,2019,9,5,Monsoon,10.83,44.55,6.02,32.99,0.76,19.95,13.64,44.55,82,77.3,73,73,72.3,71,96,85.4,68,9,4.6,0,27.9,27.8,27.8,0.31,18.6,15.79510503,Good
indore,9/22/2019,2019,9,6,Monsoon,16.48,62.47,5.42,35.59,0.7,19.88,11.95,62.47,90,79.6,73,73,72.3,72,96,78.9,55,9,4.8,2,27.9,27.9,27.8,0.24,18.6,15.83773627,Satisfactory
indore,9/23/2019,2019,9,0,Monsoon,20.26,63.69,5.57,41.68,1.35,26.55,11.51,64.61111111,87,77.8,72,74,72.9,71,96,85.4,62,12,5.4,0,27.9,24.4,0,0,18.6,18.61169405,Satisfactory
indore,9/24/2019,2019,9,1,Monsoon,23.17,69.76,8.23,46.6,1.24,23.75,9.52,69.76,83,78.1,72,74,73,72,100,84.8,70,6,2.9,0,28,27.9,27.8,1.5,18.6,18.67293747,Satisfactory
indore,9/25/2019,2019,9,2,Monsoon,24.68,57.11,4.78,42.74,1.75,21.2,8.88,86.38888889,83,76.1,73,76,73.8,72,96,79.3,0,9,4.8,1,28,27.9,27.9,0,18.6,18.59674193,Satisfactory
indore,9/26/2019,2019,9,3,Monsoon,16.89,40.15,4.69,37.12,0.94,22.34,14.69,47,81,76.9,73,75,73.3,72,96,88.4,73,12,8,6,28,28,27.9,0.24,18.6,18.57730964,Good
indore,9/27/2019,2019,9,4,Monsoon,15.06,31.03,4.85,39.18,1.22,21.14,17.19,57.53333333,83,75.3,72,74,72,71,96,90.4,72,12,6,3,28,28,27.9,0.01,18.6,18.61358162,Good
indore,9/28/2019,2019,9,5,Monsoon,13.32,37.4,5.75,36.69,1.12,20.57,25.66,52.08888889,78,74.8,72,74,72.3,70,96,91.3,84,9,6.3,2,28,27.9,27.9,1.89,18.6,15.8229927,Good
