City,Date,Max_temp,Avg_temp,Min_temp,Max_dewpoint,Avg_dewpoint,Min_dewpoint,Max_humidity_per,Avg_humidity_per,Min_humidity_per,Max_wind_speed,Avg_wind_speed,Min_wind_speed,Max_pressure,Avg_pressure,Min_pressure,Max_precipitation
Delhi,1/1/2017,72,59.4,49,62,56,49,100,90,69,5,1,0,0,0,0,0
Delhi,1/2/2017,75,60.9,51,64,56.6,51,100,87.9,58,6,1,0,0,0,0,0
Delhi,1/3/2017,74,59.6,50,60,55.6,50,100,87.8,61,5,1.4,0,0,0,0,0
Delhi,1/4/2017,77,63,51,59,55.4,50,100,79.1,51,5,1.6,0,0,0,0,0
Delhi,1/5/2017,77,62.4,51,62,57.5,51,100,85.9,57,5,1.1,0,0,0,0,0
Delhi,1/6/2017,76,64.9,59,64,60.5,57,100,87.6,62,8,5.4,3,0,0,0,0
Delhi,1/7/2017,60,57.6,55,58,56.5,54,100,96.1,91,9,4.1,2,0,0,0,0
Delhi,1/8/2017,67,57.3,50,60,54.8,50,100,77.9,0,5,1,0,0,0,0,0
Delhi,1/9/2017,66,54.6,45,57,51.5,45,100,89.8,65,6,2.8,0,0,0,0,0
Delhi,1/10/2017,63,50.1,41,48,43.9,41,100,82.6,52,14,5.5,0,0,0,0,0
Delhi,1/11/2017,63,49.1,40,46,42.8,39,100,81.6,54,12,3.8,0,0,0,0,0
Delhi,1/12/2017,64,50.1,41,50,44.6,41,100,84.6,54,9,2.6,0,0,0,0,0
Delhi,1/13/2017,66,51.1,41,48,44,41,100,80.5,45,9,2.4,0,0,0,0,0
Delhi,1/14/2017,66,55.6,42,52,49.3,41,97,81.1,53,7,3.5,0,0,0,0,0
Delhi,1/15/2017,74,59.8,50,57,52.9,48,96,80.5,56,3,1.5,0,0,0,0,0
Delhi,1/16/2017,66,54.1,45,58,50.3,45,97,87.4,69,13,6,0,0,0,0,0
Delhi,1/17/2017,59,49.6,41,52,47,41,100,91.5,74,8,3.5,0,0,0,0,0
Delhi,1/18/2017,66,53.6,42,53,49.1,42,100,86.6,62,7,3.1,0,0,0,0,0
Delhi,1/19/2017,70,55.5,45,55,50.4,45,100,84.4,55,8,4.9,3,0,0,0,0
Delhi,1/20/2017,68,55.6,45,51,47.9,45,100,78.9,49,9,4.9,2,0,0,0,0
